date,target,SMA,predict
2024-01-03,184.65499877929688,,
2024-01-04,182.2801055908203,182.2801055908203,182.2801055908203
2024-01-05,,184.91034507751465,184.96817830773958
2024-01-06,,184.59668111801147,184.6549769304521
2024-01-07,,184.58210170269012,184.64041901641593
